DATE,AWND,PRCP,SNOW,TMAX,TMIN
9/20/2015,7.83,0,0,79,64
9/21/2015,7.61,0,0,73,59
9/22/2015,6.93,0,0,71,62
9/23/2015,2.91,0,0,80,59
9/24/2015,4.25,0,0,82,60
9/25/2015,6.26,0,0,76,63
9/26/2015,6.04,0,0,72,61
9/27/2015,4.92,0,0,71,56
9/28/2015,3.36,0,0,78,65
9/29/2015,2.68,0.11,0,83,72
9/30/2015,8.28,1.26,0,79,59
10/1/2015,8.72,0.09,0,64,56
10/2/2015,12.53,1.08,0,57,48
10/3/2015,11.41,0.35,0,55,49
10/4/2015,10.74,0,0,63,53
10/5/2015,6.26,0,0,67,52
10/6/2015,1.57,0,0,73,52
10/7/2015,2.91,0,0,73,58
10/8/2015,3.36,0,0,72,59
10/9/2015,4.03,0.89,0,78,61
10/10/2015,2.46,0,0,65,50
10/11/2015,3.8,0,0,69,53
10/12/2015,3.8,0,0,77,56
10/13/2015,3.58,0.01,0,72,61
10/14/2015,3.8,0,0,69,57
10/15/2015,4.03,0,0,64,51
10/16/2015,5.37,0,0,64,53
10/17/2015,5.82,0,0,56,42
10/18/2015,4.92,0,0,50,38
10/19/2015,3.8,0,0,53,35
10/20/2015,6.04,0,0,70,48
10/21/2015,2.24,0,0,76,57
10/22/2015,4.7,0,0,75,58
10/23/2015,6.71,0,0,65,45
10/24/2015,4.03,0,0,57,40
10/25/2015,4.92,0.05,0,68,48
10/26/2015,3.8,0,0,58,46
10/27/2015,4.47,0,0,59,45
10/28/2015,6.71,1.4,0,69,53
10/29/2015,6.49,0.04,0,73,57
10/30/2015,5.82,0,0,61,48
10/31/2015,2.91,0,0,56,42
11/1/2015,4.92,0,0,65,54
11/2/2015,2.01,0,0,63,54
11/3/2015,2.46,0,0,72,48
11/4/2015,2.46,0,0,70,56
11/5/2015,2.01,0.01,0,71,56
11/6/2015,4.7,0,0,74,66
11/7/2015,4.47,0,0,72,53
11/8/2015,3.58,0,0,56,46
11/9/2015,2.01,0,0,59,43
11/10/2015,9.84,0.26,0,57,51
11/11/2015,4.92,0.43,0,58,49
11/12/2015,5.59,0.01,0,61,51
11/13/2015,10.74,0,0,58,46
11/14/2015,7.83,0,0,49,42
11/15/2015,4.7,0,0,58,39
11/16/2015,4.03,0,0,67,51
11/17/2015,6.26,0,0,52,40
11/18/2015,5.14,0,0,58,46
11/19/2015,5.59,1.25,0,64,57
11/20/2015,5.82,0,0,64,46
11/21/2015,6.49,0,0,53,42
11/22/2015,6.26,0.03,0,55,42
11/23/2015,5.82,0,0,44,33
11/24/2015,3.8,0,0,46,32
11/25/2015,2.68,0,0,50,36
11/26/2015,2.91,0,0,60,41
11/27/2015,3.8,0,0,64,51
11/28/2015,,0.02,0,64,45
11/29/2015,,0,0,49,38
11/30/2015,5.59,0,0,47,33
12/1/2015,6.71,0.33,0,51,44
12/2/2015,2.91,0.14,0,57,46
12/3/2015,8.5,0,0,55,44
12/4/2015,4.25,0,0,51,42
12/5/2015,2.24,0,0,51,40
12/6/2015,3.36,0,0,53,39
12/7/2015,3.8,0,0,54,42
12/8/2015,4.47,0,0,49,41
12/9/2015,4.25,0,0,55,40
12/10/2015,4.25,0,0,60,51
12/11/2015,4.7,0,0,61,50
12/12/2015,2.01,0,0,66,55
12/13/2015,3.36,0,0,67,55
12/14/2015,4.7,0.33,0,67,53
12/15/2015,10.51,0.09,0,68,53
12/16/2015,5.37,0.04,0,53,46
12/17/2015,4.92,1.21,0,59,50
12/18/2015,6.71,0,0,57,38
12/19/2015,9.4,0,0,40,35
12/20/2015,6.04,0,0,43,34
12/21/2015,7.16,0,0,56,39
12/22/2015,4.92,0.19,0,62,53
12/23/2015,3.58,1.55,0,64,52
12/24/2015,4.47,0.01,0,72,63
12/25/2015,0.89,0.01,0,66,57
12/26/2015,8.05,0,0,59,47
12/27/2015,5.82,0.12,0,61,46
12/28/2015,8.28,0.03,0,46,34
12/29/2015,6.93,0.45,0,46,34
12/30/2015,4.03,0.19,0,48,38
12/31/2015,5.37,0.03,0,48,42
1/1/2016,7.61,0,0,42,34
1/2/2016,6.71,0,0,40,32
1/3/2016,7.83,0,0,45,35
1/4/2016,8.5,0,0,36,14
1/5/2016,5.14,0,0,29,11
1/6/2016,3.58,0,0,41,25
1/7/2016,2.46,0,0,46,31
1/8/2016,4.25,0,0,46,31
1/9/2016,8.05,0,0,47,40
1/10/2016,9.84,1.8,0,59,40
1/11/2016,10.51,0,0,40,26
1/12/2016,6.04,0,0,44,25
1/13/2016,9.84,0,0,30,22
1/14/2016,4.92,0,0,38,22
1/15/2016,5.14,0,0,51,34
1/16/2016,6.71,0.24,0,52,42
1/17/2016,5.59,0.05,0.4,42,30
1/18/2016,11.86,0,0,31,18
1/19/2016,10.96,0,0,28,16
1/20/2016,5.59,0,0,37,27
1/21/2016,6.04,0,0,36,26
1/22/2016,6.49,0.01,0.2,30,21
1/23/2016,15.66,2.31,27.3,27,24
1/24/2016,5.82,0,0,35,20
1/25/2016,3.36,0,0,39,28
1/26/2016,6.49,0,0,48,38
1/27/2016,6.71,0,0,47,34
1/28/2016,4.47,0,0,42,32
1/29/2016,7.83,0,0,41,30
1/30/2016,6.93,0,0,39,28
1/31/2016,5.14,0,0,56,36
2/1/2016,5.82,0.01,0,59,44
2/2/2016,3.58,0,0,50,38
2/3/2016,6.49,0.73,0,59,42
2/4/2016,5.82,0,0,59,44
2/5/2016,8.28,0.53,2.5,44,31
2/6/2016,5.59,0,0,40,30
2/7/2016,5.37,0,0,47,33
2/8/2016,10.51,0.05,0.1,39,28
2/9/2016,4.03,0,0,36,27
2/10/2016,5.82,0.01,0,39,31
2/11/2016,10.07,0,0,31,18
2/12/2016,6.71,0,0,27,15
2/13/2016,12.3,0,0,22,6
2/14/2016,6.26,0,0,15,-1
2/15/2016,5.37,0.44,1.4,35,13
2/16/2016,7.83,1.01,0,54,35
2/17/2016,7.38,0,0,39,35
2/18/2016,7.16,0,0,36,27
2/19/2016,5.37,0,0,39,24
2/20/2016,7.38,0,0,61,39
2/21/2016,4.92,0.03,0,55,44
2/22/2016,5.14,0,0,52,38
2/23/2016,14.54,0.3,0,40,35
2/24/2016,10.51,1.22,0,60,36
2/25/2016,8.95,0.02,0,61,37
2/26/2016,8.72,0,0,39,27
2/27/2016,6.04,0,0,41,26
2/28/2016,7.38,0,0,60,38
2/29/2016,8.5,0.05,0,61,47
3/1/2016,7.61,0,0,52,39
3/2/2016,10.51,0.14,0,55,29
3/3/2016,5.82,0,0,36,26
3/4/2016,8.72,0.11,0.4,39,30
3/5/2016,4.25,0,0,41,28
3/6/2016,3.36,0,0,44,32
3/7/2016,7.83,0,0,60,36
3/8/2016,3.36,0,0,67,47
3/9/2016,2.24,0,0,77,44
3/10/2016,4.92,0,0,79,63
3/11/2016,6.04,0.06,0,68,48
3/12/2016,5.14,0,0,59,40
3/13/2016,3.58,0,0,62,50
3/14/2016,14.09,0.29,0,51,40
3/15/2016,5.37,0,0,57,44
3/16/2016,3.58,0.02,0,65,48
3/17/2016,4.92,0,0,63,45
3/18/2016,8.72,0,0,57,42
3/19/2016,5.14,0,0,46,36
3/20/2016,9.62,0.07,0,43,32
3/21/2016,8.05,0.06,0.5,50,32
3/22/2016,6.93,0,0,56,35
3/23/2016,6.04,0,0,71,48
3/24/2016,9.17,0,0,55,44
3/25/2016,3.8,0.04,0,72,44
3/26/2016,6.49,0,0,55,38
3/27/2016,5.59,0,0,55,43
3/28/2016,10.07,0.38,0,62,42
3/29/2016,11.63,0,0,53,40
3/30/2016,5.37,0,0,56,37
3/31/2016,6.71,0,0,73,49
4/1/2016,6.71,0.02,0,79,61
4/2/2016,4.92,0.16,0,61,49
4/3/2016,12.75,0.09,0,50,34
4/4/2016,7.16,0.47,0,45,29
4/5/2016,8.28,0,0,43,26
4/6/2016,6.04,0,0,48,30
4/7/2016,6.93,0.09,0,58,48
4/8/2016,7.16,0.01,0,50,40
4/9/2016,6.49,0.11,0,43,36
4/10/2016,4.92,0,0,50,31
