Row Number,Date,traffic
252,7-Jan-16,951
253,8-Jan-16,867
254,9-Jan-16,913
255,10-Jan-16,811
256,11-Jan-16,833
257,12-Jan-16,706
258,13-Jan-16,759
259,14-Jan-16,662
260,15-Jan-16,594
261,16-Jan-16,596
262,17-Jan-16,550
263,18-Jan-16,587
264,19-Jan-16,614
265,20-Jan-16,493
266,21-Jan-16,442
267,22-Jan-16,420
268,23-Jan-16,476
269,24-Jan-16,474
270,25-Jan-16,519
271,26-Jan-16,525
272,27-Jan-16,450
273,28-Jan-16,436
274,29-Jan-16,387
275,30-Jan-16,391
276,31-Jan-16,474
277,1-Feb-16,462
278,2-Feb-16,420
279,3-Feb-16,413
280,4-Feb-16,422
281,5-Feb-16,355
282,6-Feb-16,371
283,7-Feb-16,351
284,8-Feb-16,428
285,9-Feb-16,409
286,10-Feb-16,402
287,11-Feb-16,397
288,12-Feb-16,350
289,13-Feb-16,380
290,14-Feb-16,376
291,15-Feb-16,431
292,16-Feb-16,431
293,17-Feb-16,441
294,18-Feb-16,635
295,19-Feb-16,726
296,20-Feb-16,605
297,21-Feb-16,517
298,22-Feb-16,483
299,23-Feb-16,466
300,24-Feb-16,438
301,25-Feb-16,356
302,26-Feb-16,359
303,27-Feb-16,368
304,28-Feb-16,404
305,29-Feb-16,420
306,1-Mar-16,391
307,2-Mar-16,381
308,3-Mar-16,390
309,4-Mar-16,360
310,5-Mar-16,317
311,6-Mar-16,405
312,7-Mar-16,369
313,8-Mar-16,416
314,9-Mar-16,384
315,10-Mar-16,367
316,11-Mar-16,316
317,12-Mar-16,318
318,13-Mar-16,380
319,14-Mar-16,442
320,15-Mar-16,407
321,16-Mar-16,391
322,17-Mar-16,358
323,18-Mar-16,384
324,19-Mar-16,360
325,20-Mar-16,376
326,21-Mar-16,448
327,22-Mar-16,366
328,23-Mar-16,361
329,24-Mar-16,350
330,25-Mar-16,292
331,26-Mar-16,313
332,27-Mar-16,349
333,28-Mar-16,442
334,29-Mar-16,406
335,30-Mar-16,446
336,31-Mar-16,423
337,1-Apr-16,367
338,2-Apr-16,393
339,3-Apr-16,488
340,4-Apr-16,478
341,5-Apr-16,459
342,6-Apr-16,440
343,7-Apr-16,465
344,8-Apr-16,404
345,9-Apr-16,391
346,10-Apr-16,443
347,11-Apr-16,476
348,12-Apr-16,461
349,13-Apr-16,446
350,14-Apr-16,509
351,15-Apr-16,430
352,16-Apr-16,345
353,17-Apr-16,404
354,18-Apr-16,488
355,19-Apr-16,521
356,20-Apr-16,412
357,21-Apr-16,434
358,22-Apr-16,383
359,23-Apr-16,343
360,24-Apr-16,434
361,25-Apr-16,449
362,26-Apr-16,698
363,27-Apr-16,567
364,28-Apr-16,480
365,29-Apr-16,429
366,30-Apr-16,409
367,1-May-16,3916
368,2-May-16,3304
369,3-May-16,8030
370,4-May-16,7112
371,5-May-16,3394
372,6-May-16,4118
373,7-May-16,6188
374,8-May-16,5262
375,9-May-16,9099
376,10-May-16,9947
377,11-May-16,4329
378,12-May-16,3273
379,13-May-16,3651
380,14-May-16,3660
381,15-May-16,5073
382,16-May-16,4287
383,17-May-16,4725
384,18-May-16,6017
385,19-May-16,5721
386,20-May-16,11774
387,21-May-16,16593
388,22-May-16,7199
389,23-May-16,6635
390,24-May-16,9219
391,25-May-16,8036
392,26-May-16,4616
393,27-May-16,6150
394,28-May-16,6288
395,29-May-16,6998
396,30-May-16,6694
397,31-May-16,10073
398,1-Jun-16,8998
399,2-Jun-16,7006
400,3-Jun-16,7657
401,4-Jun-16,6178
402,5-Jun-16,6909
403,6-Jun-16,5159
404,7-Jun-16,6714
405,8-Jun-16,8834
406,9-Jun-16,6289
407,10-Jun-16,6628
408,11-Jun-16,6079
409,12-Jun-16,5265
410,13-Jun-16,8255
411,14-Jun-16,7839
412,15-Jun-16,9362
413,16-Jun-16,7348
414,17-Jun-16,12147
415,18-Jun-16,10362
416,19-Jun-16,8015
417,20-Jun-16,11280
418,21-Jun-16,8301
419,22-Jun-16,10562
420,23-Jun-16,11491
421,24-Jun-16,7795
422,25-Jun-16,6298
423,26-Jun-16,11467
424,27-Jun-16,15045
425,28-Jun-16,10334
426,29-Jun-16,8734
427,30-Jun-16,7814
428,1-Jul-16,9078
429,2-Jul-16,7845
430,3-Jul-16,6301
431,4-Jul-16,9875
432,5-Jul-16,9517
433,6-Jul-16,9242
